City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Arraial Do Cabo,BR,2022-01-31 20:28:46,-22.9661,-42.0278,80.56,83,75,8.05
67,Sijunjung,ID,2022-01-31 20:28:47,-0.6876,100.9537,71.26,98,77,1.41
68,Tasiilaq,GL,2022-01-31 20:28:47,65.6145,-37.6368,10.56,96,100,4.23
69,Coracora,PE,2022-01-31 20:28:48,-15.0333,-73.7833,52.83,68,100,8.46
70,Ahipara,NZ,2022-01-31 20:28:48,-35.1667,173.1667,68.79,93,100,14.5
71,Hede,CN,2022-01-31 20:28:49,33.7681,120.2517,30.7,49,100,7.14
72,Saldanha,ZA,2022-01-31 20:28:49,-33.0117,17.9442,80.65,69,8,4.68
73,Belaya Gora,RU,2022-01-31 20:28:49,68.5333,146.4167,-21.21,96,100,0.65
74,Tuatapere,NZ,2022-01-31 20:28:50,-46.1333,167.6833,63.82,81,25,2.13
75,Marshall,US,2022-01-31 20:28:50,34.3834,-86.3333,61.97,32,0,5.01
76,Maple Creek,CA,2022-01-31 20:28:51,49.9168,-109.4848,13.77,85,100,23.02
77,Pingliang,CN,2022-01-31 20:28:51,35.5392,106.6861,8.82,88,41,4.52
78,Mataura,NZ,2022-01-31 20:28:52,-46.1927,168.8643,63.48,78,28,1.7
79,Kostrzyn,PL,2022-01-31 20:28:52,52.3985,17.2281,31.98,80,52,3.0
80,Manggar,ID,2022-01-31 20:28:52,-2.8833,108.2667,78.67,81,100,6.46
81,Hay River,CA,2022-01-31 20:28:53,60.8156,-115.7999,-5.82,71,75,10.36
82,Avarua,CK,2022-01-31 20:28:53,-21.2078,-159.775,80.65,78,75,10.36
83,Pochutla,MX,2022-01-31 20:28:54,15.7432,-96.4661,85.82,47,0,11.54
84,Gat,IL,2022-01-31 20:28:54,31.61,34.7642,50.92,100,87,8.81
85,Fairbanks,US,2022-01-31 20:28:22,64.8378,-147.7164,-19.39,73,0,0.0
86,Gornopravdinsk,RU,2022-01-31 20:28:55,60.05,69.9,6.49,98,100,1.74
87,Awjilah,LY,2022-01-31 20:28:55,29.1081,21.2869,56.98,59,48,8.48
88,Maymyo,MM,2022-01-31 20:28:55,22.0333,96.4667,49.78,55,2,2.24
89,Esperance,AU,2022-01-31 20:28:56,-33.8667,121.9,60.64,56,90,15.52
90,Bredasdorp,ZA,2022-01-31 20:28:56,-34.5322,20.0403,74.28,88,98,8.05
91,Ilulissat,GL,2022-01-31 20:28:56,69.2167,-51.1,8.62,61,100,20.71
92,Sao Filipe,CV,2022-01-31 20:26:26,14.8961,-24.4956,73.8,74,100,3.49
93,Kangaatsiaq,GL,2022-01-31 20:29:57,68.3065,-53.4641,12.67,76,100,18.54
94,San Pedro De Macoris,DO,2022-01-31 20:29:58,18.4616,-69.2972,83.01,54,0,8.72
95,Itarema,BR,2022-01-31 20:29:58,-2.9248,-39.9167,82.78,73,25,15.05
96,Chokurdakh,RU,2022-01-31 20:29:58,70.6333,147.9167,-21.51,98,100,1.45
97,Avera,US,2022-01-31 20:29:59,33.194,-82.5271,62.44,34,92,9.66
98,Saint George,US,2022-01-31 20:29:59,37.1041,-113.5841,64.87,21,0,1.99
99,Ancud,CL,2022-01-31 20:30:00,-41.8697,-73.8203,64.42,63,3,11.16
100,Esna,EG,2022-01-31 20:30:00,25.2934,32.554,53.4,54,0,4.76
101,Grand Gaube,MU,2022-01-31 20:30:01,-20.0064,57.6608,81.0,70,25,8.99
102,Paranhos,BR,2022-01-31 20:30:02,-23.8928,-55.4311,91.38,32,13,4.68
103,Norton,ZW,2022-01-31 20:30:03,-17.8833,30.7,61.03,96,5,5.57
104,Russell,US,2022-01-31 20:27:37,32.3502,-85.1999,67.51,27,0,8.05
105,Upernavik,GL,2022-01-31 20:30:04,72.7868,-56.1549,-19.95,100,87,2.84
106,Guerrero Negro,MX,2022-01-31 20:30:04,27.9769,-114.0611,68.58,41,2,10.74
107,Santiago Del Estero,AR,2022-01-31 20:30:05,-27.7951,-64.2615,99.01,17,26,3.09
108,Saskylakh,RU,2022-01-31 20:30:06,71.9167,114.0833,-28.52,100,91,2.06
109,Souillac,MU,2022-01-31 20:30:07,-20.5167,57.5167,80.98,74,75,18.41
110,Sitka,US,2022-01-31 20:30:08,57.0531,-135.33,33.69,86,100,0.0
111,New Norfolk,AU,2022-01-31 20:30:08,-42.7826,147.0587,69.75,76,16,3.04
112,Mount Gambier,AU,2022-01-31 20:27:10,-37.8333,140.7667,60.71,77,75,10.36
113,Cubuk,TR,2022-01-31 20:30:09,40.2386,33.0322,24.71,93,75,3.44
114,Slave Lake,CA,2022-01-31 20:30:10,55.2834,-114.769,-0.42,78,100,16.11
115,Ribeira Grande,PT,2022-01-31 20:30:10,38.5167,-28.7,61.2,72,20,19.57
116,Port Elizabeth,ZA,2022-01-31 20:28:56,-33.918,25.5701,76.1,94,75,9.22
117,Port Moresby,PG,2022-01-31 20:25:14,-9.4431,147.1797,74.62,94,75,11.5
118,Soyo,AO,2022-01-31 20:30:11,-6.1349,12.3689,79.09,86,98,6.8
119,Geraldton,AU,2022-01-31 20:30:11,-28.7667,114.6,68.41,64,13,14.97
120,Bethel,US,2022-01-31 20:30:11,41.3712,-73.414,31.42,42,95,2.08
121,Telbang,PH,2022-01-31 20:30:12,16.1722,120.0592,75.69,73,4,11.61
122,Arkhangelskoye,RU,2022-01-31 20:30:12,55.8549,35.3287,16.95,99,100,1.52
123,Hamilton,US,2022-01-31 20:28:41,39.1834,-84.5333,41.94,55,0,1.01
124,Nabire,ID,2022-01-31 20:30:13,-3.3667,135.4833,73.9,89,100,1.43
125,Vila,PT,2022-01-31 20:30:13,42.0304,-8.1588,41.88,77,6,6.73
126,Quatre Cocos,MU,2022-01-31 20:30:14,-20.2078,57.7625,80.71,80,29,24.56
127,Kalmunai,LK,2022-01-31 20:30:14,7.4167,81.8167,78.04,75,100,9.69
128,Yulara,AU,2022-01-31 20:30:15,-25.2406,130.9889,71.44,100,75,14.97
129,Leningradskiy,RU,2022-01-31 20:30:15,69.3833,178.4167,-18.69,95,31,8.59
130,Solnechnyy,RU,2022-01-31 20:30:16,50.7214,136.6319,-3.35,99,99,1.54
131,Xining,CN,2022-01-31 20:30:16,36.6167,101.7667,11.28,70,100,2.1
132,Muros,ES,2022-01-31 20:30:17,42.7762,-9.0603,50.99,74,10,15.55
133,Atuona,PF,2022-01-31 20:30:17,-9.8,-139.0333,78.48,76,19,21.59
134,San Patricio,US,2022-01-31 20:30:17,28.017,-97.5169,72.28,88,100,9.4
135,Iqaluit,CA,2022-01-31 20:28:28,63.7506,-68.5145,-27.67,66,20,2.3
136,Yellowknife,CA,2022-01-31 20:30:06,62.456,-114.3525,-7.58,80,20,9.22
137,Coffs Harbour,AU,2022-01-31 20:30:18,-30.3,153.1333,73.13,97,3,1.14
138,Muchkapskiy,RU,2022-01-31 20:30:18,51.8513,42.4717,31.96,94,100,17.98
139,Doume,CM,2022-01-31 20:31:19,4.2333,13.45,69.58,26,41,1.28
140,Pangoa,PE,2022-01-31 20:31:19,-12.1167,-73.0,73.27,94,100,1.19
141,Chuy,UY,2022-01-31 20:31:20,-33.6971,-53.4616,69.85,56,50,16.51
142,Kaniama,CD,2022-01-31 20:31:20,-7.5667,24.1833,63.55,96,100,2.71
143,Saint-Pierre,RE,2022-01-31 20:31:20,-21.3393,55.4781,80.28,74,75,18.41
144,Vila Vicosa,PT,2022-01-31 20:31:21,38.7777,-7.4179,49.23,54,0,5.99
145,Riyadh,SA,2022-01-31 20:27:02,24.6877,46.7219,66.34,40,17,15.28
146,Jinchang,CN,2022-01-31 20:31:21,38.4953,102.1739,18.07,37,100,1.66
147,San Jose,US,2022-01-31 20:26:33,37.3394,-121.895,62.28,68,75,1.99
148,Williams Lake,CA,2022-01-31 20:31:14,52.1415,-122.1445,27.97,71,75,1.01
149,Lebu,CL,2022-01-31 20:31:22,-37.6167,-73.65,61.18,66,0,19.33
150,Jamestown,US,2022-01-31 20:27:53,42.097,-79.2353,35.53,37,0,4.61
151,Skibbereen,IE,2022-01-31 20:31:22,51.55,-9.2667,46.2,84,63,19.71
152,Vyatskiye Polyany,RU,2022-01-31 20:31:23,56.226,51.0656,26.06,96,100,11.12
153,Bambous Virieux,MU,2022-01-31 20:31:23,-20.3428,57.7575,80.85,74,75,18.41
154,Qasigiannguit,GL,2022-01-31 20:31:24,68.8193,-51.1922,8.85,79,100,9.4
155,Hilo,US,2022-01-31 20:27:53,19.7297,-155.09,78.53,57,20,4.61
156,Meulaboh,ID,2022-01-31 20:31:24,4.1363,96.1285,77.23,85,43,1.95
157,Airai,TL,2022-01-31 20:31:24,-8.9266,125.4092,59.77,88,90,4.14
158,Flin Flon,CA,2022-01-31 20:30:05,54.7682,-101.865,6.64,78,100,10.36
159,Mar Del Plata,AR,2022-01-31 20:28:13,-38.0023,-57.5575,68.02,56,0,13.0
160,Reconquista,AR,2022-01-31 20:31:25,-29.15,-59.65,98.42,18,2,9.71
161,Kloulklubed,PW,2022-01-31 20:31:25,7.0419,134.2556,82.6,73,100,18.39
162,Cidreira,BR,2022-01-31 20:31:26,-30.1811,-50.2056,77.32,73,46,7.65
163,Kontagora,NG,2022-01-31 20:31:26,10.3999,5.4695,76.62,10,100,9.78
164,Sao Joao Da Barra,BR,2022-01-31 20:30:57,-21.6403,-41.0511,84.29,90,96,6.55
165,Nemuro,JP,2022-01-31 20:31:27,43.3236,145.575,21.79,69,29,22.62
166,Codrington,AU,2022-01-31 20:31:28,-38.2667,141.9667,62.8,72,50,14.61
167,Terrace,CA,2022-01-31 20:31:28,54.5163,-128.6035,35.51,86,75,14.97
168,Ulagan,RU,2022-01-31 20:31:28,50.6321,87.9563,1.92,87,100,0.92
169,Bathsheba,BB,2022-01-31 20:31:29,13.2167,-59.5167,84.81,65,40,13.8
170,Papara,BR,2022-01-31 20:31:29,-3.9839,-38.7273,82.8,80,17,4.68
171,Pevek,RU,2022-01-31 20:27:49,69.7008,170.3133,-18.56,98,100,1.54
172,Bengkulu,ID,2022-01-31 20:27:10,-3.8004,102.2655,75.96,86,100,3.83
173,Sinegorye,RU,2022-01-31 20:31:30,62.0788,150.477,-9.56,100,100,2.42
174,Rundu,NA,2022-01-31 20:31:30,-17.9333,19.7667,68.05,90,98,7.85
175,Kigoma,TZ,2022-01-31 20:31:31,-4.8769,29.6267,70.54,89,100,11.01
176,Nelson Bay,AU,2022-01-31 20:31:31,-32.7167,152.15,73.99,96,14,4.34
177,Chaykovskaya,RU,2022-01-31 20:31:32,58.1279,55.5378,21.09,100,99,2.71
178,Lompoc,US,2022-01-31 20:31:32,34.6391,-120.4579,68.11,59,0,3.44
179,Starobaltachevo,RU,2022-01-31 20:31:32,56.0013,55.9213,20.66,93,100,10.07
180,Pangody,RU,2022-01-31 20:31:33,65.85,74.4859,-11.49,100,100,5.7
181,Castro,BR,2022-01-31 20:31:33,-24.7911,-50.0119,74.95,72,13,2.82
182,Vila Franca Do Campo,PT,2022-01-31 20:31:34,37.7167,-25.4333,60.19,80,47,15.46
183,Prado,BR,2022-01-31 20:31:34,-17.3411,-39.2208,80.17,82,1,11.48
184,Kaitangata,NZ,2022-01-31 20:31:31,-46.2817,169.8464,65.53,71,32,2.62
185,Sechura,PE,2022-01-31 20:32:34,-5.5569,-80.8222,75.87,67,100,13.15
186,Baracoa,CU,2022-01-31 20:32:35,20.3467,-74.4958,72.72,83,100,13.89
187,Kumluca,TR,2022-01-31 20:32:35,36.3703,30.2869,46.67,65,6,6.35
188,Lerdo,MX,2022-01-31 20:32:36,25.5333,-103.5333,71.47,17,0,5.75
189,Karratha,AU,2022-01-31 20:32:12,-20.7377,116.8463,81.91,83,97,13.4
190,Banda Aceh,ID,2022-01-31 20:32:36,5.5577,95.3222,77.13,83,60,7.52
191,Ambon,ID,2022-01-31 20:32:36,-3.6954,128.1814,80.74,78,40,10.36
192,Sibu,MY,2022-01-31 20:32:37,2.3,111.8167,75.51,100,40,5.99
193,Luderitz,NA,2022-01-31 20:32:37,-26.6481,15.1594,66.15,85,8,1.68
194,Margate,GB,2022-01-31 20:32:38,51.3813,1.3862,41.04,69,54,1.01
195,Krasnoselkup,RU,2022-01-31 20:32:38,65.7,82.4667,10.02,95,100,9.75
196,Polunochnoye,RU,2022-01-31 20:32:38,60.8697,60.4153,-10.95,100,80,1.45
197,Oussouye,SN,2022-01-31 20:32:39,12.485,-16.5469,80.78,75,99,11.16
198,Kamenka,RU,2022-01-31 20:32:39,51.3223,42.7678,33.75,94,100,18.88
199,Osmena,PH,2022-01-31 20:32:40,10.5208,119.9258,80.37,81,18,18.34
200,Sikar,IN,2022-01-31 20:32:40,27.6167,75.15,57.07,35,0,1.88
201,Faanui,PF,2022-01-31 20:32:41,-16.4833,-151.75,81.25,71,3,18.07
202,Cherskiy,RU,2022-01-31 20:32:41,68.75,161.3,-16.85,96,100,3.49
203,Isabela,PH,2022-01-31 20:32:41,6.7085,121.9711,77.58,83,97,4.14
204,Lata,PT,2022-01-31 20:32:42,40.1629,-8.3327,46.81,68,0,3.71
205,Antalaha,MG,2022-01-31 20:32:42,-14.9003,50.2788,76.03,87,92,6.51
206,Alice Town,BS,2022-01-31 20:32:43,25.7167,-79.3,66.06,54,0,11.72
