City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Solnechnyy,RU,50.7214,136.6319,-4.54,99,98,2.44,overcast clouds
79,Aklavik,CA,68.2191,-135.0107,-14.73,91,100,18.3,overcast clouds
80,Gornopravdinsk,RU,60.05,69.9,10.83,96,100,6.82,overcast clouds
81,Vilhena,BR,-12.7406,-60.1458,80.38,72,70,6.15,moderate rain
82,Xiaoweizhai,CN,26.1903,107.5125,39.07,97,100,3.94,overcast clouds
83,Oistins,BB,13.0667,-59.5333,82.49,65,40,18.41,scattered clouds
84,Jalingo,NG,8.8833,11.3667,80.2,15,2,6.2,clear sky
85,Itoman,JP,26.1247,127.6694,59.02,58,100,9.22,overcast clouds
86,Palmer,US,42.1584,-72.3287,29.28,41,40,3.0,scattered clouds
87,Kangaatsiaq,GL,68.3065,-53.4641,2.01,88,100,5.46,overcast clouds
88,Skjervoy,NO,70.0311,20.9714,32.18,67,92,18.48,overcast clouds
89,Cherskiy,RU,68.75,161.3,-31.16,100,24,1.1,few clouds
90,Safaga,EG,26.7292,33.9365,61.65,48,0,14.76,clear sky
91,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,16.11,broken clouds
92,Hede,CN,33.7681,120.2517,34.61,60,100,5.73,light snow
93,Hermanus,ZA,-34.4187,19.2345,67.89,89,9,8.19,clear sky
94,Fukue,JP,32.6881,128.8419,43.88,62,95,17.6,overcast clouds
95,Severo-Kurilsk,RU,50.6789,156.125,29.68,83,100,14.97,overcast clouds
96,Zhezkazgan,KZ,47.8043,67.7144,27.36,98,100,8.3,snow
97,Corn Island,NI,12.1694,-83.0418,80.37,63,1,14.43,clear sky
98,Tasiilaq,GL,65.6145,-37.6368,23.16,62,100,35.54,overcast clouds
99,Hobart,AU,-42.8794,147.3294,53.06,87,20,1.01,few clouds
100,Tilichiki,RU,60.4667,166.1,-13.94,84,10,9.22,clear sky
101,Kruisfontein,ZA,-34.0033,24.7314,75.88,58,100,14.34,overcast clouds
102,Busselton,AU,-33.65,115.3333,54.09,53,64,17.92,broken clouds
103,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,12.28,light snow
104,Trinidad,BO,-14.8333,-64.9,82.38,78,75,4.61,broken clouds
105,La Baule-Escoublac,FR,47.2922,-2.364,53.22,94,100,21.85,overcast clouds
106,Te Anau,NZ,-45.4167,167.7167,41.56,88,15,1.14,few clouds
107,San Cristobal,VE,7.7669,-72.225,79.99,50,62,4.85,broken clouds
108,Avarua,CK,-21.2078,-159.775,77.05,88,85,10.36,overcast clouds
109,Inhambane,MZ,-23.865,35.3833,78.03,76,24,15.21,few clouds
110,Wuwei,CN,37.9281,102.6414,11.77,94,99,1.72,overcast clouds
111,La Tuque,CA,47.4334,-72.7824,5.25,61,100,6.91,overcast clouds
112,Port Hardy,CA,50.6996,-127.4199,46.76,83,100,14.23,overcast clouds
113,Goderich,CA,43.7501,-81.7165,29.91,83,100,19.08,overcast clouds
114,Winnemucca,US,40.973,-117.7357,44.65,39,0,10.36,clear sky
115,Atuona,PF,-9.8,-139.0333,78.78,72,0,19.04,clear sky
116,Jalu,LY,29.0331,21.5482,60.94,28,6,4.76,clear sky
117,Rio De Janeiro,BR,-22.9028,-43.2075,87.76,62,75,9.22,light rain
118,Hami,CN,42.8,93.45,26.6,32,17,12.95,few clouds
119,Ucluelet,CA,48.9329,-125.5528,46.71,90,60,1.01,broken clouds
120,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,74,75,17.9,light shower snow
121,Saint-Augustin,CA,51.226,-58.6502,-1.89,71,6,14.27,clear sky
122,Saldanha,ZA,-33.0117,17.9442,63.9,95,38,8.63,scattered clouds
123,Albany,US,42.6001,-73.9662,27.82,51,13,1.99,few clouds
124,Tibati,CM,6.4667,12.6333,76.24,23,0,3.13,clear sky
125,Quelimane,MZ,-17.8786,36.8883,74.05,96,97,4.41,light rain
126,Mallapuram,IN,11.9667,78.25,68.63,86,97,5.08,overcast clouds
127,Lagoa,PT,39.05,-27.9833,60.19,85,16,12.15,few clouds
128,Provideniya,RU,64.3833,-173.3,-5.57,84,2,4.03,clear sky
129,Zlobin,HR,45.2924,14.6541,42.1,87,75,6.91,broken clouds
130,Kodiak,US,57.79,-152.4072,36.91,70,0,10.36,clear sky
131,Saskylakh,RU,71.9167,114.0833,-24.65,100,95,1.61,overcast clouds
132,Mariental,NA,-24.6333,17.9667,83.89,34,100,4.32,overcast clouds
133,General Pico,AR,-35.6566,-63.7568,78.57,19,0,8.1,clear sky
134,Hasaki,JP,35.7333,140.8333,25.2,43,0,24.02,clear sky
135,Upernavik,GL,72.7868,-56.1549,-12.98,97,100,6.58,overcast clouds
