City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Saquarema,BR,87.94,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
199,Villa Maria,AR,81.1,clear sky,-32.4075,-63.2402,Hotel Milenium
202,Broken Hill,AU,70.09,clear sky,-31.95,141.4333,Royal Exchange Hotel
209,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
210,Takoradi,GH,80.64,broken clouds,4.8845,-1.7554,Raybow International Hotel
211,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
212,Bambanglipuro,ID,75.99,overcast clouds,-7.95,110.2833,Puri Brata
213,Miracema Do Tocantins,BR,84.34,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
214,Chuy,UY,75.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
215,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
218,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
220,Hambantota,LK,75.22,overcast clouds,6.1241,81.1185,Bungalow 63
221,Dubai,AE,71.22,few clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
223,Loa Janan,ID,72.84,overcast clouds,-0.583,117.095,Kost bu jono
224,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
226,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
231,Vanimo,PG,77.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
237,Kavaratti,IN,78.3,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
240,Alugan,PH,79.27,scattered clouds,12.2188,125.4808,JM Lodge
242,Libreville,GA,79.97,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
251,Catamarca,AR,80.78,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
262,Carnarvon,AU,73.58,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
264,Kieta,PG,79.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
266,Port Elizabeth,ZA,78.1,clear sky,-33.918,25.5701,39 On Nile Guest House
268,Malakal,SS,77.29,broken clouds,9.5334,31.6605,Nile Palace Hotel
270,Moussoro,TD,71.11,clear sky,13.6408,16.4901,Hôtel Salama
274,Oyotun,PE,76.59,broken clouds,-6.8519,-79.3036,Hotel Campos
276,Plettenberg Bay,ZA,74.48,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
278,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
279,Kendari,ID,78.73,overcast clouds,-3.945,122.4989,Hotel Wixel
280,Passo Fundo,BR,78.62,clear sky,-28.2628,-52.4067,Hotel Villa Vergueiro
281,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
284,Axim,GH,80.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
285,Atar,MR,80.96,clear sky,20.5169,-13.0499,Oumou Elghoura
286,Sao Filipe,CV,73.81,clear sky,14.8961,-24.4956,Hotel Xaguate
290,Carutapera,BR,80.4,moderate rain,-1.195,-46.02,Lidera
294,Rameswaram,IN,80.01,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
299,Ugoofaaru,MV,81.19,broken clouds,5.6667,73.0,Ungoofaaru Inn
309,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
315,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
316,Pantai Remis,MY,77.02,light rain,4.4557,100.6288,Leisure Homestay
321,Mayumba,GA,78.04,broken clouds,-3.432,10.6554,LIKWALE LODGE
325,Rio Grande,BR,75.94,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
326,Gobabis,NAM,71.87,scattered clouds,-22.45,18.9667,Goba Lodge
331,Sokoni,TZ,80.83,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
334,Les Cayes,HT,82.71,clear sky,18.2,-73.75,Villa Orphee
336,Bowen,AU,73.69,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
337,El Alto,PE,80.26,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
339,Olinda,BR,83.93,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
350,Angoche,MZ,77.22,light rain,-16.2325,39.9086,Guest House HESADA
351,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
352,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
353,Iralaya,HN,84.29,clear sky,15.0,-83.2333,Iglesia morava renovada
360,Cosala,MX,77.18,overcast clouds,24.4125,-106.6908,Hotel Real del Conde
368,Port Keats,AU,78.17,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
369,Ixtapa,MX,76.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
371,Trincomalee,LK,79.02,overcast clouds,8.5711,81.2335,Welcombe Hotel
372,Sal Rei,CV,72.16,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
377,Ambilobe,MG,75.56,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
378,Cairns,AU,75.15,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
380,Mocuba,MZ,71.53,light rain,-16.8392,36.9856,Phama Lodge
388,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
389,Caravelas,BR,83.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
395,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
399,Kanigoro,ID,73.58,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
401,Puerto Madryn,AR,73.65,clear sky,-42.7692,-65.0385,Hotel Tolosa
402,Bertoua,CM,75.69,broken clouds,4.5833,13.6833,Hotel De Paris
403,Nsanje,MW,72.99,light rain,-16.92,35.262,Nsanje Discovery Lodge
405,Samarai,PG,81.55,light rain,-10.6167,150.6667,Nuli Sapi
409,Ahipara,NZ,72.84,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
412,Labuhan,ID,77.36,overcast clouds,-6.8844,112.2051,DoubleFAG
418,Mahibadhoo,MV,81.81,few clouds,3.7833,72.9667,Omadhoo Inn
424,Boca Do Acre,BR,81.57,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
426,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
427,Nabire,ID,76.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
432,Ouesso,CG,77.04,broken clouds,1.6136,16.0517,ABENIE Hotel
433,Sola,VU,81.81,overcast clouds,-13.8833,167.55,Leumerus Bungalows
434,Augusto Correa,BR,78.35,moderate rain,-1.0217,-46.635,Fazenda Bacuri
436,Horizontina,BR,85.17,clear sky,-27.6258,-54.3078,Hotel Avenida
437,Mackay,AU,74.68,overcast clouds,-21.15,149.2,International Lodge Motel
439,Cacequi,BR,85.68,clear sky,-29.8836,-54.825,Hotel e Churrascaria Gaúcho
440,Walvis Bay,NAM,72.55,overcast clouds,-22.9575,14.5053,Oyster Box Guesthouse
448,Lima,PE,75.38,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
449,Hualmay,PE,74.75,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
451,Logon,PH,78.46,broken clouds,11.3303,124.1146,Tepanee Beach Resort
453,La Palma,US,79.93,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
457,Isangel,VU,77.11,light rain,-19.55,169.2667,Tanna Lodge
458,Manokwari,ID,77.9,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
459,Pisco,PE,72.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
464,Daloa,CI,83.97,broken clouds,6.8774,-6.4502,Imans Hotel Daloa
472,Pitimbu,BR,86.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
476,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
479,Harper,LR,80.11,overcast clouds,4.375,-7.7169,Screensaver
490,Mazatlan,MX,71.56,overcast clouds,23.2167,-106.4167,Hotel Playamar
493,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
494,Jacareacanga,BR,83.68,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
497,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
499,Santiago Del Estero,AR,84.47,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
500,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
504,Ndjole,GA,81.12,scattered clouds,-0.1783,10.7649,Motel Kédyann
